session_id,response9,gender,age,sss
daca6c40-a10c-11ea-80f8-eff7546ddbd0,nlx-0668b180-a10e-11ea-8784-2352adf0139f.npy,Female,54,1
0c1019d0-a10d-11ea-8523-b569adbcbf4a,nlx-bce6d540-a10e-11ea-9c5f-5fb704133341.npy,Male,26,4
0d37d0f0-a10d-11ea-88c3-bde59e5a6fbc,nlx-2a7ed270-a10e-11ea-9c5f-5fb704133341.npy,Male,21,2
0cd93630-a10d-11ea-be05-8568ae386f64,nlx-73703910-a10e-11ea-9c5f-5fb704133341.npy,Male,52,1
0e343250-a10d-11ea-9afe-e36c5ab172d8,nlx-737ba3f0-a8d3-11ea-8784-2352adf0139f.npy,Male,57,1
0e269dc0-a10d-11ea-9aa3-fd67012a99e1,nlx-7db4be40-a10f-11ea-aef0-294d006d652e.npy,Female,24,2
17cb55f0-a10d-11ea-b26b-4b57eb9a0d3c,nlx-41507f30-a10e-11ea-9c5f-5fb704133341.npy,Female,34,3
120d9bf0-a10d-11ea-9c96-f31744567e66,nlx-6f553290-a10e-11ea-9c5f-5fb704133341.npy,Female,31,2
124a2fc0-a10d-11ea-9bc2-eb4528818ae4,nlx-768bd0f0-a10e-11ea-9c5f-5fb704133341.npy,Female,31,4
14afbe10-a10d-11ea-b4ee-319a543ac34f,nlx-388e37c0-a10e-11ea-bcc0-954f47b73b1e.npy,Female,38,1
13dabad0-a10d-11ea-b1a3-8dee46832b61,nlx-3eb9a7b0-a10e-11ea-ad75-47afc39b88d6.npy,Male,20,2
21337a50-a10d-11ea-b29f-79f316fac737,nlx-6a6e2980-a10e-11ea-9c5f-5fb704133341.npy,Male,37,1
24e9cb90-a10d-11ea-8dfa-f1da6004c4cb,nlx-a7320a30-a10e-11ea-ad75-47afc39b88d6.npy,Female,65,2
26b1e160-a10d-11ea-8a14-b3cd6eb5cd8f,nlx-58c2d8c0-a10e-11ea-ad75-47afc39b88d6.npy,Male,31,1
27ad7f70-a10d-11ea-8fbd-a1f5bcf9555d,nlx-7c8c6050-a10e-11ea-8784-2352adf0139f.npy,Female,24,1
2b602730-a10d-11ea-a48c-0bb6a8babcbd,nlx-bcfb2090-a10e-11ea-a9bd-05f6eec0ad7f.npy,Male,23,2
2ce603e0-a10d-11ea-b3d6-b3e8311b1b12,nlx-235e37a0-a10f-11ea-bcc0-954f47b73b1e.npy,Male,30,2
2f9879b0-a10d-11ea-934d-adb9e6200447,nlx-c2a4e130-a59f-11ea-aef0-294d006d652e.npy,Male,21,4
3264b910-a10d-11ea-ab6d-bdb390184c51,nlx-b8528010-a10e-11ea-a9bd-05f6eec0ad7f.npy,Female,24,2
35db9050-a10d-11ea-bc70-11650d3230b9,nlx-f68082a0-a10f-11ea-a9bd-05f6eec0ad7f.npy,Female,40,3
38ed6430-a10d-11ea-bdd7-f133120879c1,nlx-e7c2d160-a10e-11ea-aef0-294d006d652e.npy,Female,23,3
3991ba80-a10d-11ea-93a1-11a0c4e76025,nlx-3c74aed0-a110-11ea-8784-2352adf0139f.npy,Female,36,1
3afdf4b0-a10d-11ea-9108-bf51c49a7401,nlx-d3ec8a50-a10e-11ea-aef0-294d006d652e.npy,Female,35,2
3c92c580-a10d-11ea-a6b3-0162c9a97b2a,nlx-cfa82280-a111-11ea-8784-2352adf0139f.npy,Female,19,2
3fb2a320-a10d-11ea-a4a1-b3fad36b170a,nlx-0ea09dd0-a10f-11ea-a9bd-05f6eec0ad7f.npy,Male,67,2
406d67a0-a10d-11ea-8b3a-cd2fb83f53da,nlx-093a2b90-a10f-11ea-ad75-47afc39b88d6.npy,Female,39,3
42063010-a10d-11ea-af04-5d9eea53e1c7,nlx-7e93a200-a10e-11ea-9c5f-5fb704133341.npy,Male,37,3
4384b9c0-a10d-11ea-892f-efa50b7250bb,nlx-e90dd160-a513-11ea-ad75-47afc39b88d6.npy,Male,69,1
44d09ab0-a10d-11ea-890c-33302fefd9cc,nlx-6ef53840-a10e-11ea-9c5f-5fb704133341.npy,Female,23,3
46f5c4a0-a10d-11ea-92e4-b1bdeea1a411,nlx-21064fc0-a1d1-11ea-8784-2352adf0139f.npy,Female,57,1
4b3e91e0-a10d-11ea-a25a-9d2cc13c31cb,nlx-e4dba080-a33e-11ea-bcc0-954f47b73b1e.npy,Female,34,2
506fea60-a10d-11ea-9d98-f97b86e4227a,nlx-26eeb160-a10f-11ea-9c5f-5fb704133341.npy,Male,32,2
53c508d0-a10d-11ea-a8fc-d92291cc9bf0,nlx-f6b78da0-a10e-11ea-a9bd-05f6eec0ad7f.npy,Male,32,1
549eee10-a10d-11ea-86c1-8997e6ddf624,nlx-8df81000-a10e-11ea-9c5f-5fb704133341.npy,Female,36,3
568decd0-a10d-11ea-ad2f-875095d9cec1,nlx-7883a950-a10e-11ea-9c5f-5fb704133341.npy,Female,28,2
5999a630-a10d-11ea-be5e-c512c125364d,nlx-2d6b0070-a10f-11ea-9c5f-5fb704133341.npy,Male,22,2
5787dd30-a10d-11ea-b4dc-9f6386ff7117,nlx-65014ea0-a10e-11ea-ad75-47afc39b88d6.npy,Female,34,1
5afcdfb0-a10d-11ea-b86e-7de74c47539a,nlx-86c5fe20-a111-11ea-bcc0-954f47b73b1e.npy,Male,47,4
6092ed70-a10d-11ea-aaab-fbc5013a210f,nlx-6297fa50-a10f-11ea-ad75-47afc39b88d6.npy,Male,25,2
6305c230-a10d-11ea-8d72-c1057ce8dd58,nlx-c5847db0-a10e-11ea-ad75-47afc39b88d6.npy,Female,50,1
66815460-a10d-11ea-b54c-e1bead668b3a,nlx-ccae4ad0-a10e-11ea-aef0-294d006d652e.npy,Male,20,7
68b5c090-a10d-11ea-80a5-d3e69ef38341,nlx-2c1433f0-a118-11ea-a9bd-05f6eec0ad7f.npy,Female,38,1
724458b0-a10d-11ea-8df9-7f33be5f6ace,nlx-9499f300-a10f-11ea-9c5f-5fb704133341.npy,Male,61,2
78bdc190-a10d-11ea-8673-8be0738282db,nlx-d75ba3f0-a10f-11ea-8784-2352adf0139f.npy,Female,27,3
80911520-a10d-11ea-8d8c-9f8fcdd6cf05,nlx-d5e70550-a10f-11ea-8784-2352adf0139f.npy,Male,31,3
886e7ad0-a10d-11ea-9103-a9b0dfafeb1e,nlx-4028f9b0-a10f-11ea-bcc0-954f47b73b1e.npy,Female,50,1
888e85f0-a10d-11ea-8bc6-05ff546909d2,nlx-8f3e2490-a10e-11ea-ad75-47afc39b88d6.npy,Male,23,2
75924b30-a10d-11ea-af09-27d85a0139c1,nlx-4a16d360-a110-11ea-ad75-47afc39b88d6.npy,Female,51,2
a2910040-a10d-11ea-a476-7d546e40799b,nlx-cf8ae300-a6a2-11ea-aef0-294d006d652e.npy,Female,19,1
9c8e4e00-a10d-11ea-ae72-ab744d35efc5,nlx-f7cd4360-a10e-11ea-a9bd-05f6eec0ad7f.npy,Male,35,1
a3bef8f0-a10d-11ea-9f59-3f23e91a7542,nlx-34e3b0e0-a10f-11ea-9c5f-5fb704133341.npy,Male,18,3
a3719c40-a10d-11ea-af5c-0db02206d8fd,nlx-3edeed80-a10f-11ea-a9bd-05f6eec0ad7f.npy,Male,28,1
ab3e3910-a10d-11ea-ad60-d17ee2205d8d,nlx-cc0f2f30-a10f-11ea-bcc0-954f47b73b1e.npy,Female,25,2
ad9177e0-a10d-11ea-b0d0-3b8cea8c8a43,nlx-9ba59450-a110-11ea-8784-2352adf0139f.npy,Male,30,2
b77ef8e0-a10d-11ea-871b-fdc9918ce11d,nlx-c9d18c80-a115-11ea-9c5f-5fb704133341.npy,Female,30,1
bf8ce470-a10d-11ea-8b11-0fdfa6c0ffbc,nlx-2d34d540-a10f-11ea-bcc0-954f47b73b1e.npy,Male,43,4
c224a650-a10d-11ea-926c-5901fa249f42,nlx-6856c5c0-a10f-11ea-8784-2352adf0139f.npy,Male,36,1
c6d62070-a10d-11ea-983e-8310dd3e3c5f,nlx-ea4f2190-a10e-11ea-aef0-294d006d652e.npy,Female,35,1
c55d3c10-a10d-11ea-9e91-a99244b0fa84,nlx-52fe7290-a10f-11ea-ad75-47afc39b88d6.npy,Female,23,3
c9236bd0-a10d-11ea-be13-71c0183bf520,nlx-2e88cc80-a10f-11ea-bcc0-954f47b73b1e.npy,Female,57,2
ca21a1f0-a10d-11ea-b857-233698eeddcf,nlx-b84718f0-a10f-11ea-aef0-294d006d652e.npy,Female,35,2
ced12040-a10d-11ea-b2ee-376daccc762f,nlx-fccf2770-a10e-11ea-ad75-47afc39b88d6.npy,Male,31,1
d3325780-a10d-11ea-ad4d-f5230ffd62d2,nlx-0a6e56e0-a361-11ea-a9bd-05f6eec0ad7f.npy,Transgender male,21,3
d7b4d260-a10d-11ea-b3b1-75bfbd8bcbdb,nlx-9bef83b0-a112-11ea-ad75-47afc39b88d6.npy,Female,25,3
d9d76440-a10d-11ea-bb93-27beca29039f,nlx-3c2a54d0-a10f-11ea-bcc0-954f47b73b1e.npy,Female,25,4
0c8eca40-a10e-11ea-baf3-6f2badbbc868,nlx-a1eda970-a10f-11ea-9c5f-5fb704133341.npy,Female,27,1
0bf32680-a10e-11ea-94b6-251204276294,nlx-1225a8b0-a5ab-11ea-a9bd-05f6eec0ad7f.npy,Male,29,2
0b7ee0e0-a10e-11ea-9d6d-098b5043ee32,nlx-ab532e60-a112-11ea-ad75-47afc39b88d6.npy,Male,21,1
1058ca90-a10e-11ea-9d00-8f2190b7b239,nlx-77cbd590-a10f-11ea-a9bd-05f6eec0ad7f.npy,Male,23,3
11430380-a10e-11ea-b6d1-3d28b437e528,nlx-395b7d60-a10f-11ea-ad75-47afc39b88d6.npy,Male,30,2
17fb2310-a10e-11ea-a1cc-719040d887ac,nlx-e4c08fa0-a679-11ea-8784-2352adf0139f.npy,Male,30,2
196895c0-a10e-11ea-b04e-dbf47b6df865,nlx-1636cbe0-a110-11ea-a9bd-05f6eec0ad7f.npy,Male,30,4
1acf0390-a10e-11ea-a444-212101f6e48e,nlx-bbb3b700-a10f-11ea-aef0-294d006d652e.npy,Female,41,2
1c4eecd0-a10e-11ea-a591-353c520e0345,nlx-4e5bd010-a110-11ea-8784-2352adf0139f.npy,Female,55,1
210bffb0-a10e-11ea-b6d7-33693fba0986,nlx-e1bdbbe0-a113-11ea-a9bd-05f6eec0ad7f.npy,Male,39,1
1f99f920-a10e-11ea-aba0-7737c7d915ad,nlx-21c39a70-a10f-11ea-ad75-47afc39b88d6.npy,Female,29,1
26716080-a10e-11ea-833c-47747af38a9b,nlx-23cede50-a110-11ea-aef0-294d006d652e.npy,Male,38,2
2d37d7f0-a10e-11ea-9547-cdd5caf48cfd,nlx-6411c910-a10f-11ea-ad75-47afc39b88d6.npy,Female,61,2
371db7d0-a10e-11ea-8f50-05b47f50ebbf,nlx-7800ef50-a10f-11ea-8784-2352adf0139f.npy,Male,35,3
3b1b2430-a10e-11ea-a878-331f6583d2bb,nlx-a37c86d0-a10f-11ea-8784-2352adf0139f.npy,Male,27,1
ab8be270-a192-11ea-9a87-312ffc958fa2,nlx-787a2c10-a111-11ea-8784-2352adf0139f.npy,Male,38,4
466f1300-a10e-11ea-9864-89b5554fbd6e,nlx-aa118e00-a10f-11ea-a9bd-05f6eec0ad7f.npy,Female,35,1
4d7e0520-a10e-11ea-8cdc-b1b4ba80ba6b,nlx-c8b5f210-a10f-11ea-8784-2352adf0139f.npy,Female,70,3
54804d10-a10e-11ea-b406-fdeff45c1d20,nlx-8b204270-a10f-11ea-bcc0-954f47b73b1e.npy,Male,23,2
59d64490-a10e-11ea-8f2c-7324afd01a02,nlx-01ec6b80-a2ab-11ea-8784-2352adf0139f.npy,Male,36,6
58e33200-a10e-11ea-a5c6-4144bd5a3db9,nlx-d922cf60-a10f-11ea-8784-2352adf0139f.npy,Male,20,6
5946fce0-a10e-11ea-9af1-ad124e826d36,nlx-bd51fdb0-a10f-11ea-8784-2352adf0139f.npy,Male,28,4
5b3efc50-a10e-11ea-92bb-8712907d69f3,nlx-884a6620-a10f-11ea-aef0-294d006d652e.npy,Female,23,3
